raceId,driverId,constructorId,q1_milliseconds,q2_milliseconds,q3_milliseconds,points,positionOrder
18,1,1,86572.0,85187.0,86714.0,10.0,1
18,9,2,86103.0,85315.0,86869.0,0.0,9
18,5,1,85664.0,85452.0,87079.0,4.0,5
18,13,6,85994.0,85691.0,87178.0,0.0,13
18,2,2,85960.0,85518.0,87236.0,8.0,2
18,15,7,86427.0,86101.0,88527.0,0.0,15
18,3,3,86295.0,86059.0,88687.0,6.0,3
18,14,9,86381.0,86063.0,89041.0,0.0,14
18,10,7,86919.0,86164.0,89593.0,0.0,10
18,20,5,86702.0,85842.0,,0.0,20
18,22,11,86369.0,86173.0,,0.0,22
18,4,4,86907.0,86188.0,,5.0,4
18,18,11,86712.0,86259.0,,0.0,18
18,6,3,86891.0,86413.0,,3.0,6
18,17,9,86914.0,,,0.0,17
18,8,6,86140.0,,,1.0,8
18,21,10,87207.0,,,0.0,21
18,7,5,87446.0,,,2.0,7
18,16,10,87859.0,,,0.0,16
18,11,8,88208.0,,,0.0,11
18,12,4,88330.0,,,0.0,12
18,19,8,89059.0,,,0.0,19
19,13,6,95347.0,94412.0,95748.0,0.0,19
19,8,6,95645.0,94188.0,96230.0,10.0,1
19,5,1,95227.0,94759.0,96613.0,6.0,3
19,1,1,95392.0,94627.0,96709.0,4.0,5
19,15,7,95205.0,94960.0,96711.0,5.0,4
19,9,2,95794.0,94811.0,96727.0,8.0,2
19,2,2,95729.0,94648.0,96753.0,3.0,6
19,17,9,95440.0,94967.0,97009.0,2.0,7
19,4,4,95983.0,95140.0,98450.0,1.0,8
19,10,7,95891.0,95000.0,99656.0,0.0,21
19,18,11,95847.0,95208.0,,0.0,10
19,14,9,96058.0,95408.0,,0.0,9
19,12,4,96074.0,95562.0,,0.0,11
19,22,11,96198.0,95622.0,,0.0,13
19,20,5,96111.0,95648.0,,0.0,18
19,3,3,95843.0,95670.0,,0.0,14
19,21,10,96240.0,,,0.0,12
19,6,3,96388.0,,,0.0,17
19,7,5,96677.0,,,0.0,22
19,11,8,97087.0,,,0.0,16
19,16,10,97101.0,,,0.0,20
19,19,8,97481.0,,,0.0,15
20,9,2,92893.0,91745.0,93096.0,6.0,3
20,13,6,91937.0,91188.0,93123.0,10.0,1
20,1,1,92750.0,91922.0,93292.0,0.0,13
20,8,6,92652.0,91933.0,93418.0,8.0,2
20,5,1,93057.0,91718.0,93488.0,4.0,5
20,2,2,93137.0,91909.0,93737.0,5.0,4
20,15,7,92493.0,92159.0,93994.0,3.0,6
20,3,3,92903.0,92185.0,94015.0,1.0,8
20,18,11,92793.0,92362.0,95057.0,0.0,21
20,4,4,92947.0,92345.0,95115.0,0.0,10
20,17,9,93194.0,92371.0,,2.0,7
20,22,11,92944.0,92508.0,,0.0,11
20,10,7,92800.0,92528.0,,0.0,9
20,12,4,92975.0,92790.0,,0.0,20
20,7,5,93415.0,92915.0,,0.0,15
20,6,3,93386.0,92943.0,,0.0,14
20,14,9,93433.0,,,0.0,18
20,21,10,93501.0,,,0.0,12
20,20,5,93562.0,,,0.0,22
20,16,10,93845.0,,,0.0,19
20,19,8,94140.0,,,0.0,16
20,11,8,95725.0,,,0.0,17
21,8,6,80701.0,80784.0,81813.0,10.0,1
21,4,4,81347.0,80804.0,81904.0,0.0,15
21,13,6,81528.0,80584.0,82058.0,8.0,2
21,9,2,81423.0,80597.0,82065.0,5.0,4
21,1,1,81366.0,80825.0,82096.0,6.0,3
21,5,1,81430.0,80817.0,82231.0,0.0,17
21,17,9,81494.0,80984.0,82429.0,4.0,5
21,15,7,81158.0,80907.0,82529.0,1.0,8
21,2,2,81466.0,80815.0,82542.0,0.0,9
21,12,4,81409.0,80894.0,82699.0,0.0,20
21,22,11,81548.0,81049.0,,0.0,16
21,6,3,81690.0,81117.0,,2.0,7
21,18,11,81757.0,81211.0,,3.0,6
21,10,7,81427.0,81230.0,,0.0,11
21,3,3,81472.0,81349.0,,0.0,14
21,7,5,81540.0,81724.0,,0.0,19
21,14,9,81810.0,,,0.0,12
21,20,5,82108.0,,,0.0,22
21,21,10,82516.0,,,0.0,10
21,16,10,83224.0,,,0.0,21
21,19,8,83318.0,,,0.0,18
21,11,8,83496.0,,,0.0,13
22,13,6,85994.0,86192.0,87617.0,10.0,1
22,5,1,86736.0,86290.0,87808.0,0.0,12
22,1,1,86192.0,86477.0,87923.0,8.0,2
22,8,6,86457.0,86050.0,87936.0,6.0,3
22,9,2,86761.0,86129.0,88390.0,5.0,4
22,17,9,86773.0,86466.0,88417.0,2.0,7
22,4,4,86836.0,86522.0,88422.0,3.0,6
22,15,7,86695.0,86822.0,88836.0,0.0,10
22,2,2,87107.0,87607.0,88882.0,4.0,5
22,14,9,86939.0,86520.0,89959.0,0.0,9
22,3,3,87367.0,87012.0,,1.0,8
22,22,11,87355.0,87219.0,,0.0,14
22,18,11,87428.0,87298.0,,0.0,11
22,20,5,87442.0,87412.0,,0.0,17
22,10,7,86614.0,87806.0,,0.0,13
22,6,3,87547.0,,,0.0,19
22,12,4,87568.0,,,0.0,15
22,7,5,87621.0,,,0.0,18
22,21,10,87807.0,,,0.0,20
22,16,10,88325.0,,,0.0,16
23,13,6,75190.0,75110.0,75787.0,6.0,3
23,8,6,75717.0,75404.0,75815.0,0.0,9
